pair,side,entry_time,entry_price,avg_entry,exit_time,exit_price,reason,layers,lots,pnl_usd,hold_bars
EURCHF,SHORT,2026-09-25 12:00:00,0.9454704251089726,0.9454704251089726,2026-09-25 16:00:00,0.9437614251089727,TP,1,0.0132,2.67,1
AUDCHF,LONG,2026-09-23 12:00:00,0.5816800000000001,0.5816800000000001,2026-09-25 12:00:00,0.5830975,TP,1,0.0212,3.57,12
GBPCHF,LONG,2026-09-22 08:00:00,1.096335,1.096335,2026-09-25 08:00:00,1.0971416197458863,TP,1,0.0112,1.06,18
AUDCAD,LONG,2026-09-24 20:00:00,0.9912099999999999,0.9912099999999999,2026-09-25 08:00:00,0.99334,TP,1,0.0214,3.16,3
AUDCAD,LONG,2026-09-23 16:00:00,0.9913599999999999,0.9913599999999999,2026-09-24 16:00:00,0.9933354999999999,TP,1,0.0213,2.92,6
GBPCAD,LONG,2026-09-23 16:00:00,1.866465,1.866465,2026-09-24 16:00:00,1.8693495,TP,1,0.0113,2.28,6
CADCHF,LONG,2026-09-24 08:00:00,0.5840708995830683,0.5840708995830683,2026-09-24 12:00:00,0.5852538995830684,TP,1,0.0212,2.96,1
USDNOK,SHORT,2026-09-23 20:00:00,9.481327499999999,9.481327499999999,2026-09-24 08:00:00,9.4530485,TP,1,0.015,4.44,3
EURCHF,LONG,2026-09-22 08:00:00,0.9404,0.939292678949327,2026-09-24 08:00:00,0.9405811789493269,TP,2,0.0288,4.4,12
NZDCHF,LONG,2026-09-23 00:00:00,0.46932500000000005,0.4683599343389701,2026-09-24 08:00:00,0.46958043433897007,TP,2,0.058,8.37,8
NZDCAD,LONG,2026-09-23 16:00:00,0.798925,0.798925,2026-09-24 04:00:00,0.8009315,TP,1,0.0265,3.69,3
CADCHF,LONG,2026-09-21 16:00:00,0.585235,0.5843349285573227,2026-09-23 16:00:00,0.5853364285573227,TP,2,0.0463,5.48,12
AUDUSD,LONG,2026-09-14 00:00:00,0.714795,0.711547675852748,2026-09-23 16:00:00,0.704682675852748,SL,3,0.0717,-49.43,46
USDNOK,SHORT,2026-09-14 12:00:00,9.335090563146887,9.385814346569344,2026-09-23 16:00:00,9.501876846569344,SL,3,0.051,-62.39,43
EURAUD,LONG,2026-09-22 16:00:00,1.609461678640157,1.609461678640157,2026-09-23 08:00:00,1.611706178640157,TP,1,0.0131,2.05,4
AUDCAD,SHORT,2026-09-22 16:00:00,0.99975,0.99975,2026-09-23 08:00:00,0.9980055,TP,1,0.0211,2.55,4
NZDCAD,LONG,2026-09-22 04:00:00,0.7993752598092484,0.7993752598092484,2026-09-22 08:00:00,0.8013232598092485,TP,1,0.0261,3.55,1
NZDUSD,LONG,2026-09-22 04:00:00,0.5726975422766429,0.5726975422766429,2026-09-22 08:00:00,0.5743415422766429,TP,1,0.0261,4.22,1
AUDCAD,SHORT,2026-09-18 04:00:00,0.996883572090157,0.9984034569780205,2026-09-22 08:00:00,0.9966859569780204,TP,2,0.0463,5.53,13
EURAUD,LONG,2026-09-18 04:00:00,1.6113300000000002,1.6113300000000002,2026-09-22 04:00:00,1.6137045,TP,1,0.0131,2.17,12
GBPNZD,SHORT,2026-09-22 00:00:00,2.34265,2.34265,2026-09-22 04:00:00,2.33742,TP,1,0.0112,3.33,1
GBPNZD,SHORT,2026-09-18 16:00:00,2.340864951424281,2.340864951424281,2026-09-21 12:00:00,2.335088951424281,TP,1,0.0112,3.68,5
NZDCAD,LONG,2026-09-18 00:00:00,0.800375,0.800375,2026-09-21 08:00:00,0.8024585,TP,1,0.0262,3.82,8
EURCHF,SHORT,2026-09-18 08:00:00,0.947101418096009,0.947101418096009,2026-09-18 16:00:00,0.9455494180960091,TP,1,0.0131,2.42,2
AUDCHF,SHORT,2026-09-16 20:00:00,0.5856626114656669,0.5866714197956951,2026-09-18 16:00:00,0.5854334197956952,TP,2,0.0464,6.84,11
GBPCAD,LONG,2026-09-17 16:00:00,1.8666850000000001,1.8666850000000001,2026-09-18 08:00:00,1.869795,TP,1,0.0112,2.46,4
EURCHF,SHORT,2026-09-16 20:00:00,0.94675,0.94675,2026-09-18 04:00:00,0.9453170000000001,TP,1,0.0131,2.24,8
CADCHF,SHORT,2026-09-17 12:00:00,0.590076868582359,0.590076868582359,2026-09-17 16:00:00,0.588777368582359,TP,1,0.021,3.24,1
GBPCHF,SHORT,2026-09-16 20:00:00,1.104975,1.104975,2026-09-17 12:00:00,1.102935,TP,1,0.0112,2.74,4
NZDCAD,LONG,2026-09-16 20:00:00,0.799175,0.799175,2026-09-17 08:00:00,0.8013845,TP,1,0.0263,4.07,3
GBPNZD,SHORT,2026-09-16 20:00:00,2.34157,2.34157,2026-09-17 08:00:00,2.3354524999999997,TP,1,0.0112,3.9,3
CADCHF,SHORT,2026-09-16 20:00:00,0.5902850000000001,0.5902850000000001,2026-09-17 08:00:00,0.5890230000000001,TP,1,0.021,3.15,3
EURCHF,SHORT,2026-09-15 16:00:00,0.9455653581636616,0.9455653581636616,2026-09-16 16:00:00,0.9441348581636617,TP,1,0.013,2.23,6
GBPCHF,SHORT,2026-09-15 12:00:00,1.103305,1.103305,2026-09-16 12:00:00,1.1013415,TP,1,0.0111,2.63,6
GBPNZD,SHORT,2026-09-15 08:00:00,2.3362600000000002,2.3409401852555862,2026-09-16 12:00:00,2.335238685255586,TP,2,0.0245,7.96,7
GBPCHF,SHORT,2026-09-11 12:00:00,1.100975,1.102620748677713,2026-09-15 08:00:00,1.1007132486777131,TP,2,0.0244,5.62,11
GBPCAD,SHORT,2026-09-14 20:00:00,1.8783641712372754,1.8783641712372754,2026-09-15 08:00:00,1.8755321712372754,TP,1,0.0111,2.23,3
GBPNZD,SHORT,2026-09-08 04:00:00,2.3106500000000003,2.319525701882843,2026-09-15 04:00:00,2.3401297018828426,SL,3,0.0377,-44.82,30
AUDCAD,LONG,2026-09-14 12:00:00,0.9894921112923694,0.9894921112923694,2026-09-14 16:00:00,0.9916541112923695,TP,1,0.0211,3.22,1
