symbol,split,n_trades,period_days,total_return_pct,ann_return_pct,ann_sharpe,max_drawdown_pct,win_rate_pct,t_stat
AVGO,TRAIN,1290,1597.0,525.0289038889435,52.06372602306255,1.594636480450288,-24.968691147377776,40.07751937984496,3.334453814635521
AVGO,TEST,438,496.3,288.3867126261619,171.4571856365792,3.4217117553252567,-12.486475980141499,47.94520547945205,3.9884405905410563
JPM,TRAIN,1413,1610.1,931.3538037819704,69.78259409549352,2.1630768466364727,-15.992258673198945,44.30290162774239,4.541517725978346
JPM,TEST,468,529.2,167.45704885385808,97.18650800278097,2.6802793326290213,-14.363229927602372,48.93162393162393,3.2262837194708247
QCOM,TRAIN,1402,1611.2,352.2781022799605,40.79229126161843,1.4190116602406797,-23.06735297181618,41.940085592011414,2.98031720447616
QCOM,TEST,481,529.1,188.41622923163612,107.75297858189066,2.7749749499835885,-15.476968531815615,50.1039501039501,3.3399740724863873
PLTR,TRAIN,1374,1577.0,196.0244468910144,28.57820916499929,1.0427317339416473,-25.016840242755244,39.5924308588064,2.1666441459385575
PLTR,TEST,470,516.2,162.7368524024067,98.08408333521248,2.4447306517468306,-16.730875002640346,45.744680851063826,2.906294681293288
AMD,TRAIN,1434,1637.1,583.4035413610627,53.53913275737525,1.7112614416435388,-31.45382632909406,44.07252440725244,3.6229601280418384
AMD,TEST,478,502.2,145.6133529591745,92.24234452389086,2.2995944855669763,-13.534849834309249,45.39748953974895,2.696373727501341
INTC,TRAIN,1374,1576.1,357.418669257727,42.24096154858192,1.2583481952595876,-23.976788079246937,40.68413391557497,2.613938145645245
INTC,TEST,446,517.1,126.98227526820949,78.43115180810744,1.8396713881102003,-23.86759753645329,42.600896860986545,2.1888533350661303
SIEGn,TRAIN,1310,1158.3,830.7021181532093,102.0678668492188,2.3619796005401548,-19.73308268057139,43.969465648854964,4.20621965944616
SIEGn,TEST,451,371.8,119.36068405656562,116.32622182162021,2.618838839404866,-14.501878355803377,49.44567627494457,2.642371667376838
ASML,TRAIN,1262,1633.2,1132.2913018984918,75.35592426460478,2.1055575078136006,-17.131096312457274,41.12519809825674,4.452442593169676
ASML,TEST,420,479.1,246.74285331685834,158.06259299433972,2.63473115774078,-21.83911161611689,43.333333333333336,3.0173977463417887
DIS,TRAIN,1357,1611.0,-25.681215132015744,-6.507768426327976,-0.17336609325581107,-53.240956832023215,38.983050847457626,-0.3640991194670901
DIS,TEST,461,528.3,69.51723949703674,44.037934294845485,1.3380633410586622,-31.426632028302947,47.288503253796094,1.609215320383309
MSFT,TRAIN,3768,3063.9,44120.74342175639,106.72194338394125,2.887358619831725,-20.25265785795205,46.07218683651805,8.362639049607772
MSFT,TEST,1221,1407.2,118.76571092368397,22.5309406685664,0.8132703955776261,-25.12237137454516,43.57084357084357,1.596298950513914
JNJ,TRAIN,1420,1611.0,360.37024895455045,41.36387418586902,1.6827514200263896,-19.179355122321674,45.0,3.5340837391470408
JNJ,TEST,466,528.3,51.55427826234524,33.30488542551806,1.1661215231167361,-27.549288332892232,44.84978540772532,1.402416508928607
LMT,TRAIN,1275,1644.1,953.5895322380986,68.73348834219728,2.3325773856014234,-19.861092268204583,45.490196078431374,4.948786687838226
LMT,TEST,454,495.2,117.35510453275407,77.28209996294844,1.738146377709166,-16.61664167226924,43.83259911894273,2.0239672342806823
SNOW,TRAIN,1249,1487.2,514.805027159931,56.211205619465396,1.682489958965146,-31.887337115671322,42.1937550040032,3.395003544127122
SNOW,TEST,418,480.1,123.01126264280899,84.07366703299346,1.9583092144064043,-13.798826897823535,45.21531100478469,2.2452184582760415
SBUX,TRAIN,1376,1610.2,207.05960741798944,28.979750512280344,1.1220380280638538,-22.70462506916564,41.71511627906977,2.355851328536302
SBUX,TEST,460,529.1,49.01430753159997,31.696817472006966,1.096780858179079,-25.05492560522682,45.65217391304348,1.320104056259042
