split,n_trades,period_days,total_return_pct,ann_return_pct,ann_sharpe,max_drawdown_pct
TRAIN,14002,1768.0,380.3002643656363,38.29080443966932,2.5681425615850992,-7.10695008086658
TEST,4720,527.0,158.8346863157299,93.31036495799671,4.571427617149355,-4.749645523967761
