symbol,category,split,n_trades,period_days,total_return_pct,ann_return_pct,ann_sharpe,max_drawdown_pct,calmar,win_rate_pct,profit_factor,t_stat,mean_pnl_bps
AAPL,Equities I CFD,TRAIN,3850,2677.9,182.81672083466538,15.234818944393336,0.9507223452522165,-32.871053316330446,0.46347218623580366,41.74025974025974,1.1393601250344156,2.5742578761595194,2.945749488607248
AAPL,Equities I CFD,TEST,1214,1407.2,0.7414965551842956,0.19193840339490897,0.07754959981552559,-19.696107682770947,0.009744991573274447,43.163097199341024,1.010468494422374,0.15221548143329858,0.3078180995884025
AMZN,Equities I CFD,TRAIN,1352,2221.7,-25.196013567553997,-4.660414459704764,-0.21501898669452496,-45.82008683034323,-0.1017111660429792,40.680473372781066,0.9644873723573499,-0.5303056310164819,-1.5648644775171603
AMZN,Equities I CFD,TEST,464,516.2,13.809075430548013,9.58398701683838,0.5422527176097542,-18.756086096752934,0.5109801142626215,42.456896551724135,1.0955595689856135,0.6446557995673083,3.414187827883341
BABA,Equities I CFD,TRAIN,1271,2243.8,329.42112113243417,26.771567186767676,1.079868634462035,-42.758776010048216,0.6261069582645775,43.98111723052715,1.2505057544861329,2.676505179330587,12.906354040391859
BABA,Equities I CFD,TEST,430,494.1,27.50261796681317,19.672646210893795,1.0196397607616345,-11.08376181515328,1.7749069800469848,44.18604651162791,1.1575557629254034,1.185985062067856,6.236818943848188
BAC,Equities I CFD,TRAIN,1266,2242.9,-14.921945497469336,-2.5972478374363894,-0.0834546955843756,-28.86090195516877,-0.08999191506456858,41.70616113744076,0.9835002316664021,-0.2068070118264745,-0.6520845775569375
BAC,Equities I CFD,TEST,451,495.0,-39.48104599624204,-30.966117292169095,-2.9008158061986657,-40.84703293897098,-0.7580995500563079,44.567627494456765,0.6927680539879817,-3.376973404471322,-10.895805629328164
MSFT,Equities I CFD,TRAIN,3773,3063.9,1138.236992979875,34.981346817542104,2.0532032551111046,-16.338908137768115,2.1409843621484814,46.037635833554205,1.327211384694748,5.9466799863518816,6.921030024569461
MSFT,Equities I CFD,TEST,1221,1407.2,83.919136462243,17.135126031921267,1.0625871461757206,-13.39590667595557,1.2791314874324446,43.73464373464373,1.1954401738357976,2.0856614915450664,5.384793982813793
RACE,Equities I CFD,TRAIN,1247,2242.9,62.11278245542835,8.185370207686793,0.5555349546039121,-16.613934212953595,0.4926810292353753,48.195669607056935,1.125735907749918,1.3766350189692398,4.530613810794832
RACE,Equities I CFD,TEST,437,495.1,-18.19739120686632,-13.773210995388595,-0.9631891606191136,-26.16415630203538,-0.5264152543805566,44.62242562929062,0.8783585515972013,-1.12137548762449,-4.279527468762156
T,Equities I CFD,TRAIN,1292,2236.7,-60.52592080180554,-14.082925880082641,-1.1793002165997204,-64.14116711752425,-0.21956142229652373,40.17027863777089,0.7946400694928047,-2.9183473240841455,-6.83901976489604
T,Equities I CFD,TEST,464,501.2,-78.57986368267349,-67.46549968726502,-8.683981776422707,-78.57296433422061,-0.8586350312594991,35.560344827586206,0.3207905950091535,-10.172622600770646,-32.91087997839664
GOOG,Equities I CFD,TRAIN,1339,2179.0,52.180800101491975,7.292152033242272,0.525990766369403,-23.825676900455896,0.3060627433045875,41.97162061239731,1.0971872325281298,1.2847231412127291,3.675371472056978
GOOG,Equities I CFD,TEST,446,516.2,16.385615937825214,11.335234614375533,0.7790352473242128,-10.70363973952978,1.0590074862584546,43.49775784753363,1.1071720715748026,0.926088711930558,3.769728340735194
V,Equities I CFD,TRAIN,1267,2247.7,72.45704071787394,9.259838710773671,0.6189924035702111,-26.152405485934725,0.35407216042722317,46.645619573796374,1.15715513183564,1.5355330857007343,4.919472227241037
V,Equities I CFD,TEST,403,490.2,-7.425347580035913,-5.5861587539427155,-0.48119716594144557,-14.72975366076309,-0.3792431891663638,39.950372208436725,0.9372455619114024,-0.5574895739593871,-1.7232396934904142
NFLX,Equities I CFD,TRAIN,1339,2221.7,78.53940107073345,9.998058035133383,0.5786220682368758,-28.166742355236774,0.3549596864642226,43.3159073935773,1.1064313365991483,1.4270671894308187,5.207181077231909
NFLX,Equities I CFD,TEST,433,516.2,-5.3256399021377465,-3.7981142358938236,-0.13782828774604125,-25.06596044830558,-0.15152478372918562,46.18937644341801,0.9807315597580193,-0.16385681833292667,-0.7796491020797869
NVDA,Equities I CFD,TRAIN,1271,1639.2,273.51559511363854,34.13016028758711,1.229648730338061,-35.27120840841521,0.9676493045654805,43.115656963021245,1.2002116806980332,2.604930437908286,11.614267645664237
NVDA,Equities I CFD,TEST,431,479.1,23.908977421635534,17.755430670185078,0.9392312543631588,-9.674175077987169,1.8353431199096426,43.851508120649655,1.1313178320902664,1.0756796558314698,5.541498410628985
PFE,Equities I CFD,TRAIN,1347,2220.8,-16.335491075785846,-2.890734993425148,-0.1531329832897524,-38.87350924174097,-0.07436259421418999,40.97995545657015,0.9737184186981466,-0.377598791985812,-0.924676512700031
PFE,Equities I CFD,TEST,443,517.1,-71.89942926639449,-59.20352998109546,-6.241154077155243,-72.626815323247,-0.8151745290991038,37.24604966139955,0.43198461900300306,-7.426215690285476,-28.293219168876107
TSLA,Equities I CFD,TRAIN,1380,2221.7,-54.31728147478556,-12.084881179594998,-0.2899739199281888,-75.0198986361279,-0.1610890097067552,39.63768115942029,0.9526969011875965,-0.7151701598112935,-3.778269806399103
TSLA,Equities I CFD,TEST,448,516.2,-12.78257213509314,-9.22339979609912,-0.27091600760136275,-28.991516583748865,-0.31814133522318994,40.625,0.96267731904297,-0.32207457475638057,-2.1113063263583975
WMT,Equities I CFD,TRAIN,1254,1636.9,-16.77411516756335,-4.014266334036332,-0.35916160060819335,-25.727290261041425,-0.15603144728052043,42.42424242424242,0.9479684515334984,-0.7603331498955932,-1.2860566367421418
WMT,Equities I CFD,TEST,422,482.1,-29.704418134458177,-23.43678728559452,-2.282253236394166,-34.49530601303257,-0.679419607895055,40.52132701421801,0.7465778772173735,-2.6219257793727113,-8.146301245065155
ZM,Equities I CFD,TRAIN,1219,1636.9,12.89979099632086,2.744278959788282,0.23133246417539582,-41.04452351214965,0.06686102614824957,42.904019688269074,1.0371456108728283,0.4897262406943268,2.18265613566751
ZM,Equities I CFD,TEST,417,482.0,-54.56194407406492,-44.99249552146539,-3.1603092837200877,-56.21593768574207,-0.8003512415461629,41.007194244604314,0.6557025582640851,-3.6305862983420565,-18.370778219352825
META,Equities I CFD,TRAIN,1331,2179.0,182.2161217024674,18.99444458282482,0.9383452689174241,-19.517170340319634,0.973217134021988,42.37415477084899,1.1864811851099561,2.2919191094112152,8.738438050631665
META,Equities I CFD,TEST,456,516.1,26.327527403554306,17.986070586147985,0.8920916677632239,-19.97492044633503,0.9004326517579719,41.00877192982456,1.1541455319738145,1.0604325583499317,5.783684726302211
GE,Equities I CFD,TRAIN,1373,1611.2,212.83511277378565,29.50509063957658,1.480023083774678,-17.271881952414326,1.708273060275997,41.87909686817189,1.2729463521455269,3.108458079088223,8.845793716545753
GE,Equities I CFD,TEST,452,529.1,27.226317322447425,18.08330152572568,1.061201819743846,-11.854770464533292,1.525402923643836,42.256637168141594,1.1643058830276318,1.2772679492623096,5.785916204889319
BA,Equities I CFD,TRAIN,1340,1610.2,102.40391483805915,17.343992463615287,0.9694643197646438,-12.720890255747763,1.3634259957378878,41.64179104477612,1.148790545036156,2.035531148732088,5.801023577562545
BA,Equities I CFD,TEST,471,529.1,-3.533378421659794,-2.4527566083260455,-0.058361521785353455,-15.987302125637381,-0.15341904400447795,40.76433121019109,0.9918862927452614,-0.07024215240889765,-0.31038876005716237
RTX,Equities I CFD,TRAIN,1368,1578.1,140.93297974534752,22.571787533785038,1.595200725477426,-17.473727312573605,1.2917557387737766,44.07894736842105,1.284588115856101,3.315776068670926,6.702066989287971
RTX,Equities I CFD,TEST,448,515.1,4.563006004627446,3.21473549967477,0.2885118895731844,-25.836984445749778,0.12442378894583415,40.848214285714285,1.0429070370749092,0.34260884325308333,1.326650894806749
LMT,Equities I CFD,TRAIN,1276,1644.1,188.32635671813102,26.523143305270523,2.1961910885982188,-9.565238808890065,2.772867864064152,45.61128526645768,1.3995246409815172,4.659430075200492,8.513112920584295
LMT,Equities I CFD,TEST,454,495.2,42.63141053979289,29.937547737934022,1.6786207530103303,-11.226192119147838,2.6667588992060236,44.052863436123346,1.291437859400821,1.9546532135885246,8.216461786409926
PLTR,Equities I CFD,TRAIN,1377,1577.0,209.13352111573272,29.875148766427316,0.9588699095461345,-28.14434534057426,1.0614973773562195,39.57879448075526,1.1451134364979556,1.9923915314070877,9.845828226541494
PLTR,Equities I CFD,TEST,470,516.2,223.06095296897038,129.27963042626794,2.6984005338092416,-16.99281950857078,7.607897580567037,45.744680851063826,1.477943459439482,3.207857321134819,26.542087448955726
AMD,Equities I CFD,TRAIN,1435,1637.1,374.0765205165489,41.50894368404461,1.4961315433890223,-33.807204100495966,1.2278135618862267,44.041811846689896,1.229022783433545,3.167502519543836,11.83785329415715
AMD,Equities I CFD,TEST,479,502.2,186.52011438039153,115.03588043798362,2.5349858633405997,-13.291481278654082,8.65485780149497,45.51148225469729,1.4040947802729307,2.972380271564979,23.46707817065349
INTC,Equities I CFD,TRAIN,1376,1576.1,112.9271312733696,19.142308863859526,1.014425514745027,-17.01255425754792,1.1251872337375033,40.625,1.1551756119707899,2.107243097655355,6.053835091659294
INTC,Equities I CFD,TEST,446,517.1,239.04619074600873,136.9036980168345,2.2171760234417244,-22.038154624102525,6.21212167497485,43.27354260089686,1.442593136172676,2.6380108777602893,30.165020221146015
QCOM,Equities I CFD,TRAIN,1403,1611.2,129.97294832817198,20.778951979517622,1.1600402214553962,-17.407566166489865,1.193673588874118,41.91019244476122,1.1694293015389052,2.43640551149626,6.420908157399443
QCOM,Equities I CFD,TEST,482,529.1,159.69130486732018,93.2395611339975,2.8066341837234936,-9.369241507882952,9.951665890515148,50.0,1.519829123841206,3.3780792884800284,20.706239942124093
AVGO,Equities I CFD,TRAIN,1291,1597.0,124.29016780895692,20.29061473301157,1.0802187105683476,-18.54291418222659,1.0942516658174557,40.04647560030984,1.1738131055540943,2.258784020216437,6.843567494774
AVGO,Equities I CFD,TEST,438,496.3,184.48959156146856,115.87134226248467,3.419532025308116,-12.043649067243978,9.620949731724476,47.94520547945205,1.5933837175327774,3.9858998377546015,24.73142340893981
CSCO,Equities I CFD,TRAIN,1398,1610.1,139.31943402910397,21.891346685977474,1.7856188894980511,-12.448115115198554,1.7586073460430314,42.91845493562232,1.289909078993697,3.7489964288020685,6.449130302120892
CSCO,Equities I CFD,TEST,436,529.2,-13.179508715289623,-9.293025142430434,-0.6572719577705284,-20.127581947511853,-0.4617059896546205,39.678899082568805,0.9114123343816356,-0.7911815493681008,-2.9422935908503027
JNJ,Equities I CFD,TRAIN,1420,1611.0,95.18321815797373,16.37202083149736,1.8250155515027884,-7.599941242860353,2.154229922090227,45.0,1.2727332676258205,3.832864264738119,4.82265973364336
JNJ,Equities I CFD,TEST,466,528.3,31.500607612899945,20.84465639887394,1.7218288995484752,-9.021926066246822,2.3104441607938657,45.493562231759654,1.2724392002834097,2.070728673134549,6.076623849799485
MCD,Equities I CFD,TRAIN,141,164.1,3.29357737189071,7.480883626146917,0.7382905633347631,-6.546853107936402,1.1426686230485668,45.39007092198582,1.0990159422537502,0.494808176602518,2.472801739348399
MCD,Equities I CFD,TEST,47,53.2,-7.341671914077397,-40.75755252497686,-5.567981541868943,-7.696342390513545,-5.295704174389944,29.78723404255319,0.5134259148233983,-2.124956220960502,-16.07913134888726
SBUX,Equities I CFD,TRAIN,1378,1610.2,56.00555169974382,10.614450182628165,0.8752009726370091,-12.975785359500424,0.8180198645823491,41.72714078374456,1.1310808153310024,1.8375877845076247,3.472012224150564
SBUX,Equities I CFD,TEST,461,529.1,41.583394160926666,27.127740609126484,1.5003799559567204,-11.27016490195759,2.407040255854152,45.98698481561822,1.2329722809849546,1.805882780518799,7.990214413936104
KO,Equities I CFD,TRAIN,1406,1610.2,136.76148566999032,21.592873730402708,2.261054108705929,-7.510487213142469,2.8750296908325357,44.66571834992888,1.3651024343668217,4.747365439218187,6.253236858542565
KO,Equities I CFD,TEST,457,529.1,-6.283253204892725,-4.380673172353056,-0.46466414905666237,-12.146328451530108,-0.3606582178173528,45.51422319474836,0.9411665363636131,-0.5592721513656838,-1.2974670392627876
MSTR,Equities I CFD,TRAIN,1206,1627.0,218.76396088800436,29.726342759989286,0.7847980680907305,-49.15578178015975,0.604737462887579,37.81094527363184,1.1328785618918684,1.656345866909494,13.44265566759685
MSTR,Equities I CFD,TEST,411,466.2,111.87988670020647,80.08841458591614,1.7395679434982307,-24.76845949184674,3.2334838834962496,47.201946472019465,1.2638059652121993,1.9652897808143333,20.473157496547774
GME,Equities I CFD,TRAIN,1374,1585.0,-29.18906856944338,-7.64570532578751,0.1821042505745589,-73.012783769942,-0.1047173512775321,38.3551673944687,1.035047169226539,0.3793508233805515,3.8886569442286856
GME,Equities I CFD,TEST,444,508.1,-42.68455102749593,-32.97379650356282,-1.7997862019747253,-49.589819512665436,-0.6649307625558344,42.792792792792795,0.7860772370876129,-2.122831574822246,-11.843171818494017
NKE,Equities I CFD,TRAIN,1371,1610.1,145.87430131436903,22.639688401153357,1.5148268802629563,-9.483559859996326,2.3872563399586246,42.4507658643326,1.244647455475899,3.1805270394935357,6.881093314775211
NKE,Equities I CFD,TEST,455,529.2,-17.227134082365836,-12.23460369455539,-0.6413554076692136,-36.66037619981813,-0.333728263667302,42.1978021978022,0.9101576027367821,-0.7719690489148147,-3.6544399737397533
