universe,symbol,timeframe,ma_window,split,n_trades,win_rate,profit_factor,total_return_pct,t_stat
stocks_mt5,AMD,15m,20,TRAIN,243,39.09465020576132,1.1587901310812414,23.671237817201664,0.9457539931106633
stocks_mt5,AMD,15m,20,TEST,89,42.69662921348314,1.506459463689524,34.12753265695998,1.505771101945848
stocks_mt5,AMD,15m,50,TRAIN,133,33.08270676691729,1.081897688196145,6.19692268210148,0.3726228742798343
stocks_mt5,AMD,15m,50,TEST,46,34.78260869565217,1.3511707216631772,15.755146652292584,0.8140471256141416
stocks_mt5,AMD,30m,20,TRAIN,118,47.45762711864407,1.1670921728498524,16.299239738735103,0.7206185814788696
stocks_mt5,AMD,30m,20,TEST,45,48.888888888888886,1.1658760978714025,7.55245991130109,0.46042709791653624
stocks_mt5,AMD,30m,50,TRAIN,68,27.941176470588236,0.7201034878656679,-26.09999566460549,-1.1624373984044518
stocks_mt5,AMD,30m,50,TEST,26,46.15384615384615,1.7689881987364724,26.940475269029697,1.2631867021029124
stocks_mt5,AMAT,15m,20,TRAIN,252,40.87301587301587,1.1012550640350849,11.011997532467422,0.6330218909812374
stocks_mt5,AMAT,15m,20,TEST,85,52.94117647058824,1.9807618691046232,66.50023632979823,2.4057937430930942
stocks_mt5,AMAT,15m,50,TRAIN,151,36.423841059602644,1.6232461850135464,64.10255462526035,2.0730010892532897
stocks_mt5,AMAT,15m,50,TEST,42,42.857142857142854,1.8009050493956655,32.94885300523409,1.5293676474257487
stocks_mt5,AMAT,30m,20,TRAIN,111,43.24324324324324,1.1518452124604084,10.931675915549821,0.5927532788300596
stocks_mt5,AMAT,30m,20,TEST,40,57.49999999999999,1.768043766424369,33.91651064771302,1.5289113239127734
stocks_mt5,AMAT,30m,50,TRAIN,72,27.77777777777778,0.9410770631217252,-5.986326552401733,-0.21888365047071043
stocks_mt5,AMAT,30m,50,TEST,22,31.818181818181817,1.1113361711795873,2.219763820778864,0.20319553714536115
stocks_mt5,AVGO,15m,20,TRAIN,256,45.703125,1.3432702960166458,45.8748035769859,1.9576641223207099
stocks_mt5,AVGO,15m,20,TEST,80,53.75,2.0491886163483146,38.73309981725623,2.6034889430975823
stocks_mt5,AVGO,15m,50,TRAIN,143,31.46853146853147,1.3536022804161187,33.29883241422571,1.335655014513049
stocks_mt5,AVGO,15m,50,TEST,46,43.47826086956522,1.6274013831356953,17.422625474716135,1.364182829947406
stocks_mt5,AVGO,30m,20,TRAIN,110,41.81818181818181,1.1084892305044836,7.813903832163405,0.4669110869132001
stocks_mt5,AVGO,30m,20,TEST,42,47.61904761904761,1.5153767974504355,16.523021744792388,0.8449336101224598
