symbol,split,n_trades,period_days,total_return_pct,ann_return_pct,ann_sharpe,max_drawdown_pct,calmar,win_rate_pct,profit_factor,t_stat,mean_pnl_bps
AMD,TRAIN,243,288.9,23.671237817201664,30.81930401769779,1.0634913886321953,-15.14618069230178,2.0347904626122713,39.09465020576132,1.1587901310812414,0.9457539931106633,10.11360073555255
AMD,TEST,89,95.2,34.12753265695998,208.4228746312691,2.9491226351678086,-8.77531416887588,23.7510441928677,42.69662921348314,1.506459463689524,1.505771101945848,35.43263187508518
AMAT,TRAIN,252,288.9,11.011997532467422,14.118720294753695,0.7117501107936435,-12.912312775716073,1.09343078501835,40.87301587301587,1.1012550640350849,0.6330218909812374,4.88810387621002
AMAT,TEST,85,95.2,66.50023632979823,606.6970177999749,4.711601066310883,-8.10544694316977,74.85053224748098,52.94117647058824,1.9807618691046232,2.4057937430930942,62.97387198122129
AVGO,TRAIN,256,288.9,45.8748035769859,61.191498583355816,2.2013350324439083,-12.628302892927955,4.845583694197262,45.703125,1.3432702960166458,1.9576641223207099,15.557461773767841
AVGO,TEST,80,95.2,38.73309981725623,251.0663471259725,5.099054007993785,-4.427304010397304,56.70863047496979,53.75,2.0491886163483146,2.6034889430975823,42.02497421343073
INTC,TRAIN,245,292.1,118.11019845826758,165.16369523058353,2.352977019937701,-16.080429041487598,10.271100031252914,42.857142857142854,1.5237327696529828,2.1041464394240035,35.013986813119196
INTC,TEST,87,96.1,51.58465799396683,385.95019975397105,3.750638344252635,-8.542607486324838,45.17943735233149,47.12643678160919,1.6324159371699387,1.9238942009864197,50.888963875868086
MU,TRAIN,259,288.9,122.41284052203466,174.76441439707014,2.7892128520689834,-14.742189524888815,11.85471222588886,44.01544401544402,1.5040253275616695,2.480468374661368,33.151328263124746
MU,TEST,91,95.2,44.9268416957699,315.09878381598384,2.915213809651496,-10.385836421705308,30.3392785156389,41.75824175824176,1.5144799113827578,1.488457841061232,44.8219603871228
NVDA,TRAIN,268,288.9,36.319705414030025,47.958671984253456,2.180321100343976,-9.187869903955303,5.2197813514542295,45.149253731343286,1.3230476875188104,1.938976271387247,12.082597445027087
NVDA,TEST,83,95.2,1.4643891711226154,5.734943596391062,0.3808594696839156,-7.619503285818596,0.7526663328651524,38.55421686746988,1.0518873681747238,0.19446026981506956,2.3411655386846473
QCOM,TRAIN,260,288.9,27.215280274774933,35.57604051331522,1.6217088599842264,-11.285266575265284,3.152432445972498,45.76923076923077,1.2516598938508088,1.442198123070862,9.863716562182246
QCOM,TEST,93,95.2,33.426802468527804,202.28767933006,3.305423432431533,-8.574975197431712,23.59046815559853,52.68817204301075,1.5790889276492854,1.6876921376200578,32.75557688857172
TSM,TRAIN,270,82.9,-0.7617725805226017,-3.313190888737172,0.02799676331993153,-8.748998325340928,-0.378693739046757,40.74074074074074,1.0019681902772979,0.013337642253105452,0.06839433791967416
TSM,TEST,94,26.6,5.257348687806718,102.0157167683053,3.969929002357934,-3.690151858632551,27.645397988067888,50.0,1.298632939968392,1.0716364163551348,5.577940102306976
POOLED_8SYMBOLS_EQUALWEIGHT,TRAIN,2053,358.0,47.85762326140428,49.0332915561305,3.018038279821578,-4.101405897008004,11.955239931726956,,,,
POOLED_8SYMBOLS_EQUALWEIGHT,TEST,702,96.0,34.15602487522587,205.85589961407368,4.602254548034906,-2.213811397822363,92.98709899884237,,,,
