symbol,variant,n_trades,period_days,total_return_pct,ann_return_pct,ann_sharpe,max_drawdown_pct,win_rate_pct,t_stat
AMD,A_baseline,479,502.2,186.52011438039153,115.03588043798362,2.5349858633405997,-13.291481278654082,45.51148225469729,2.972380271564979
AMD,B_rvol_filter,91,502.2,14.603567134399054,10.422520195163543,0.7939601822797314,-7.8908289816108645,45.05494505494506,0.9309525612527356
AMD,C_vwap_stop,525,502.2,64.99291587150842,43.93717800001842,1.593599092139568,-19.88638622831047,44.19047619047619,1.868563675545468
AMD,D_eod_flat,441,502.2,45.391719700123836,31.28736504685794,1.1628823470437655,-21.406841693895828,47.3922902494331,1.3635297129227621
AMD,E_all_combined,92,502.2,1.5252755512284333,1.107114321271907,0.15602364012249742,-8.371314181013013,39.130434782608695,0.18294444813460267
AVGO,A_baseline,438,496.3,184.48959156146856,115.87134226248467,3.419532025308116,-12.043649067243978,47.94520547945205,3.9858998377546015
AVGO,B_rvol_filter,67,496.3,24.530301720434732,17.523002308893098,1.4236200745791412,-6.745394555457674,46.26865671641791,1.6594104053691099
AVGO,C_vwap_stop,473,496.3,86.20129122579002,58.018715796243555,2.5903914170655726,-7.59097611377565,45.45454545454545,3.0194309199581912
AVGO,D_eod_flat,381,496.3,27.741620284347192,19.74604033638332,1.1159446026109137,-12.685099319451465,46.71916010498688,1.3007754796766893
AVGO,E_all_combined,70,496.3,-0.2685919650487034,-0.19775511483424157,-0.002925003482434993,-6.308231297858125,47.14285714285714,-0.0034094638739401114
QCOM,A_baseline,482,529.1,159.69130486732018,93.2395611339975,2.8066341837234936,-9.369241507882952,50.0,3.3780792884800284
QCOM,B_rvol_filter,70,529.1,7.698181486697386,5.2526730816376155,0.5670604383232561,-9.757272171556053,48.57142857142857,0.6825168499426068
QCOM,C_vwap_stop,509,529.1,47.075657627703094,30.51241751282454,1.5063508290813825,-17.489871361129904,45.97249508840864,1.8130515784403551
QCOM,D_eod_flat,436,529.1,51.926865332451655,33.46907068900007,1.5149471127570953,-13.463491658103688,49.31192660550459,1.8233981095313074
QCOM,E_all_combined,70,529.1,-9.803259851533197,-6.8744908029832015,-0.9896828011312269,-10.856584943398516,35.714285714285715,-1.1911872919009767
INTC,A_baseline,446,517.1,239.04619074600873,136.9036980168345,2.2171760234417244,-22.038154624102525,43.27354260089686,2.6380108777602893
INTC,B_rvol_filter,73,517.1,82.51862720167922,52.962830259638125,1.6197071333789759,-14.706295062799246,50.68493150684932,1.9271383920195
INTC,C_vwap_stop,473,517.1,148.3685898479338,90.14899511668015,2.2242264707636736,-18.04723962920194,42.49471458773784,2.6463995471901107
INTC,D_eod_flat,399,517.1,10.790309369820683,7.5067665804145145,0.3944646147560219,-18.21728710909315,42.10526315789473,0.4693366397687183
INTC,E_all_combined,70,517.1,11.256016113025758,7.82579262519707,0.7453598460890485,-9.048447430149853,44.285714285714285,0.8868341354225934
ASML,A_baseline,420,479.1,90.44701874605168,63.422525622539936,2.217170747212242,-20.064761113857454,43.57142857142857,2.539191141471053
ASML,B_rvol_filter,69,479.1,19.03164871063612,14.205841789051753,1.1672223561501895,-4.547943982466651,47.82608695652174,1.3367489493491036
ASML,C_vwap_stop,459,479.1,57.1794272417703,41.16939907296895,1.8046873244719392,-21.021684803350137,41.830065359477125,2.0667989026943365
ASML,D_eod_flat,374,479.1,-15.976027040509965,-12.428710637040963,-0.7605550708027444,-30.356613719713287,42.24598930481284,-0.8710175798645207
ASML,E_all_combined,67,479.1,2.069027563058645,1.5736718559713703,0.2325350263074848,-6.974610413136084,41.7910447761194,0.26630825777586437
AMD,F_daily_loss_limit,477,502.2,167.52851259458015,104.57230416942708,2.395569829876034,-13.291481278654082,45.28301886792453,2.8089089586071134
AMD,G_risk_based_sizing,479,502.2,170.68673574873748,106.32604698518287,2.5273025682948957,-12.192070348247185,45.51148225469729,2.9633712767044047
AVGO,F_daily_loss_limit,438,496.3,184.48959156146856,115.87134226248467,3.419532025308116,-12.043649067243978,47.94520547945205,3.9858998377546015
AVGO,G_risk_based_sizing,438,496.3,325.96979716027334,190.55326581183235,3.6414375297205783,-12.269040029893418,47.94520547945205,4.244558948851767
QCOM,F_daily_loss_limit,482,529.1,159.69130486732018,93.2395611339975,2.8066341837234936,-9.369241507882952,50.0,3.3780792884800284
QCOM,G_risk_based_sizing,482,529.1,243.64465495747373,134.46142430686567,3.2110271042073912,-12.560648220933924,50.0,3.8648086802250803
INTC,F_daily_loss_limit,445,517.1,244.73812473603093,139.70626528545918,2.246035065877,-22.038154624102525,43.37078651685393,2.672347559675073
INTC,G_risk_based_sizing,446,517.1,178.0354498631879,105.92535727630063,2.254601308333794,-18.130141196569415,43.27354260089686,2.682539732305316
ASML,F_daily_loss_limit,420,479.1,90.44701874605168,63.422525622539936,2.217170747212242,-20.064761113857454,43.57142857142857,2.539191141471053
ASML,G_risk_based_sizing,420,479.1,273.0084950793491,172.83686359509818,2.779735467977917,-20.50899888913159,43.57142857142857,3.1834623854735318
