symbol,split,n_trades,avg_nights_held,period_days,total_return_pct,ann_return_pct,ann_sharpe,max_drawdown_pct,win_rate_pct,t_stat
AVGO,TRAIN,1354,0.46,1598.2,84.26017301184181,14.990547715562252,0.6199385964100923,-38.68182716819194,40.177252584933534,1.2967791310821561
AVGO,TEST,465,0.46,497.1,290.32783267940084,171.980555931046,3.3879564519455094,-10.280685875907436,48.17204301075269,3.952533040813652
JPM,TRAIN,1481,0.37,1614.0,651.4273540260409,57.83756318445006,1.826841831587132,-21.57392499235967,45.172180958811616,3.8402704001329666
JPM,TEST,487,0.37,527.3,166.35933636313715,97.11936516616564,2.6503053518775865,-15.608291289793097,49.69199178644764,3.1843271189099926
QCOM,TRAIN,1469,0.39,1614.1,297.82266551569575,36.67785259958305,1.2748209719718027,-29.5258489288061,42.205582028590875,2.6799424737744206
QCOM,TEST,501,0.39,527.2,144.75910013914927,85.92805739367144,2.3665227866881566,-17.69388709449382,49.700598802395206,2.8430549792332567
PLTR,TRAIN,1426,0.36,1578.1,-2.387038955624965,-0.557620773549794,0.12037654401259178,-52.614746168570825,39.410939691444604,0.25021489447895845
PLTR,TEST,494,0.36,517.1,168.76245816122162,101.05257652431585,2.4528472883908465,-17.29599272567758,45.74898785425101,2.9183847296068026
AMD,TRAIN,1499,0.36,1638.2,417.51088248520807,44.2684334875836,1.452539060128415,-35.03585708378648,44.62975316877918,3.0762387209714763
AMD,TEST,499,0.36,503.1,134.97777433879276,85.94285956969739,2.134891792393638,-21.44498217290013,45.69138276553106,2.505510481822018
INTC,TRAIN,1429,0.42,1577.9,214.04918806206922,30.3289229979828,0.9399360654545007,-22.688062322677848,40.93771868439468,1.9536624698561338
INTC,TEST,462,0.42,517.2,130.99723409983292,80.62693160154086,1.8541593189487984,-26.274994985137333,43.290043290043286,2.2063800366377064
SIEGn,TRAIN,1380,0.37,1160.0,437.3327911234452,69.79463617879429,1.797167934044965,-22.291967253160095,43.69565217391304,3.2028038588855474
SIEGn,TEST,473,0.37,371.3,70.98862337641765,69.49005647986397,1.8248785648688635,-15.381457914312179,48.20295983086681,1.840038529693458
ASML,TRAIN,1318,0.43,1637.1,612.2711915267263,54.96379911701583,1.6321434339460175,-20.004002804548993,40.591805766312596,3.455435163980449
ASML,TEST,442,0.43,477.2,257.5073002790943,165.15307339388667,2.707989530706465,-19.401600085478975,44.57013574660634,3.095254745188519
LMT,TRAIN,1338,0.45,1645.2,651.8744886601341,56.49989595936924,1.9251745143980235,-21.45136597350804,45.14200298953662,4.085852571540167
LMT,TEST,469,0.45,496.1,83.08153390723095,56.086176083642926,1.3921004894146347,-25.189770683657297,43.71002132196162,1.622431876681507
SNOW,TRAIN,1308,0.37,1491.1,447.5011091675075,51.661631025328234,1.56449079287544,-30.6222732994745,42.96636085626911,3.1609986202793796
SNOW,TEST,428,0.37,478.2,140.14301293531724,95.24199564975203,2.0653550430118983,-15.957845845311125,45.794392523364486,2.363344848147395
