貨幣對,年化報酬,MDD,Sharpe,Calmar,總報酬,勝率,獲利因子,交易數,止盈,停損,平均持倉根數,資金在場率,回測年數
AUDCAD,1.0274,0.3619,2.5023,2.8387,2.8836,96.0227,3.4978,176,172,4,7.8295,31.0991,2.7812
AUDNZD,0.6584,0.3518,1.78,1.8718,1.842,94.6281,2.098,242,233,9,7.4587,40.8711,2.7812
NZDCAD,0.7502,0.6829,1.2737,1.0985,2.1003,92.9688,1.8859,256,245,11,7.8633,45.7788,2.7812
CADJPY,1.0332,1.3477,1.2373,0.7667,2.9002,94.1781,1.7273,292,278,14,7.4692,49.5247,2.7812
EURAUD,0.6082,0.7677,0.9109,0.7923,1.3943,93.4272,1.6326,213,201,12,8.6479,50.9071,2.2834
GBPAUD,0.4852,0.684,0.8828,0.7094,1.1113,93.1507,1.4936,219,204,15,7.863,47.5302,2.2834
AUDUSD,0.6693,0.9548,0.8151,0.7009,1.8725,91.2281,1.5222,285,263,22,8.0351,51.7942,2.7812
USDCHF,0.4318,0.4998,0.6121,0.8641,0.9888,91.866,1.395,209,194,15,8.378,48.1573,2.2834
