year,ret_pct,mdd_pct,end_equity
2019,3.67,3.15,25917
2020,5.0,4.2,27221
2021,3.28,2.87,28100
2022,3.96,3.92,29240
2023,6.11,2.1,31036
2024,0.03,3.1,31055
2025,10.42,2.15,34369
2026,4.0,1.13,35766
