method,ann_pct,mdd_pct
固定12檔(現況),3.337191105876691,11.292357741203853
全28檔不挑,4.937560749371084,20.82517543395254
滾動:sharpe,,5.074697646649543
滾動:calmar,,5.123086372634335
滾動:smooth,,5.4840783085544755
滾動:revert,,6.910124901833088
滾動:cost,,8.05556343833397
