variant,平均年化報酬,中位年化報酬,獲利標的比,平均勝率,平均MDD,最差MDD,平均夏普,平均交易數,平均持倉根數,資金在場比
"A 基準 (md原版, 只做多)",0.2811555565299618,0.22712288732569252,17/18,86.56373422641617,0.909386647800663,2.039806454326342,0.5468984290880964,75.72222222222223,16.255471010867375,28.831305811128622
B 雙向交易 (加做空),0.28677449731179494,0.1666762980846559,15/18,84.59126535301552,1.2625213664387802,2.2439889802144215,0.4415115806627219,154.05555555555554,17.009451531025725,60.90756997620489
C 趨勢過濾 (EMA200順勢),0.12259410839889721,0.1335301618604512,15/18,88.92884355751545,0.3232411131382886,0.6169771998214447,0.5924001949183924,20.77777777777778,12.779809294626382,5.803705117287043
D 雙向 + 趨勢過濾,0.17141219622987658,0.15736063112826715,15/18,88.62523790251353,0.43181647578008325,0.8101915078114302,0.5775125582755049,35.5,13.281320572603052,10.488306010560175
E 較近止盈 (保留停損),0.27864801358896873,0.3015856611261136,17/18,93.21546125163093,0.6922496732806513,1.279956576633951,0.6718737069863399,127.11111111111111,7.615908063467468,22.578511562671743
F 雙向 + 較近止盈,0.3713328241773099,0.3098588452070894,16/18,92.17748761551282,0.9847891807150595,2.066061077782976,0.6691648679268632,260.22222222222223,8.10430709862505,48.92150364872873
G 雙向 + 時間停損(120根),0.28677449731179494,0.1666762980846559,15/18,84.59126535301552,1.2625213664387802,2.2439889802144215,0.4415115806627219,154.05555555555554,17.009451531025725,60.90756997620489
H 悲觀撮合 (同根先停損),0.2811555565299618,0.22712288732569252,17/18,86.56373422641617,0.909386647800663,2.039806454326342,0.5468984290880964,75.72222222222223,16.255471010867375,28.831305811128622
I 雙向+悲觀撮合,0.28677449731179494,0.1666762980846559,15/18,84.59126535301552,1.2625213664387802,2.2439889802144215,0.4415115806627219,154.05555555555554,17.009451531025725,60.90756997620489
