year,ret_pct,mdd_pct,end_equity
2016,-0.0,1.88,25002.0
2017,4.16,3.05,26068.0
2018,-0.11,3.05,26032.0
2019,3.35,4.07,26870.0
2020,-0.76,11.22,26674.0
2021,3.97,3.17,27720.0
2022,3.31,3.48,28663.0
2023,5.32,2.59,30183.0
2024,-1.71,5.71,29681.0
2025,10.53,2.49,32886.0
2026,4.27,1.65,34312.0
