direction,channel_k,stop_atr,dca_step,IS_年化,OOS_年化,OOS_獲利比,OOS_MDD,OOS_夏普,OOS_交易數
long,1.5,3.0,1.0,0.2584458907466083,0.42404371680031466,83.33333333333334,0.44646664017419113,0.8872533455703914,45.333333333333336
long,1.5,3.0,1.5,0.2520201180339805,0.3285327100628985,83.33333333333334,0.3407607899868082,0.9313181260513423,46.666666666666664
long,1.5,3.0,2.0,0.31109655155279003,0.3197819401941064,83.33333333333334,0.27885475831979023,1.0386727133819316,45.833333333333336
long,1.5,4.0,1.0,0.1825356779046963,0.5704212239767704,83.33333333333334,0.5318431065235907,1.0570314520644326,41.111111111111114
long,1.5,4.0,1.5,0.1914522189308401,0.5464258212907167,94.44444444444444,0.35594145968267665,1.257390141669735,41.111111111111114
long,1.5,4.0,2.0,0.22707628832050897,0.3298240374403473,77.77777777777779,0.3253870808104739,1.0087786122384736,42.333333333333336
long,1.5,6.0,1.0,0.2315977380562964,0.6131882035151173,83.33333333333334,0.5511197640115503,1.0629047451208946,39.22222222222222
long,1.5,6.0,1.5,0.21617307276994352,0.6254793875577678,88.88888888888889,0.46702363473991887,1.271581435102301,38.666666666666664
long,1.5,6.0,2.0,0.2592785802602144,0.41214643731795986,88.88888888888889,0.3951299460941582,1.0863615144242162,39.05555555555556
long,2.0,3.0,1.0,0.2107991094650325,0.39360071341262665,83.33333333333334,0.4407860294910676,0.9156192549998379,32.5
long,2.0,3.0,1.5,0.18936858782431293,0.33563481836851133,88.88888888888889,0.32459730890117316,1.0125145545245902,33.44444444444444
long,2.0,3.0,2.0,0.20072980004643293,0.25552068062944583,88.88888888888889,0.26377261722887335,0.9228091947629683,32.888888888888886
long,2.0,4.0,1.0,0.10214838788805752,0.5748972154893032,83.33333333333334,0.45810314396014884,1.1623932760908715,28.944444444444443
long,2.0,4.0,1.5,0.1472571531957962,0.48100814860687063,94.44444444444444,0.3503421051073354,1.2261726777439432,29.27777777777778
long,2.0,4.0,2.0,0.16620906009072364,0.28985543382116474,88.88888888888889,0.2952781544936227,0.9366469815986966,30.0
long,2.0,6.0,1.0,0.16926723073850433,0.542403882806553,88.88888888888889,0.5315553282996264,1.0406195346207234,27.666666666666668
long,2.0,6.0,1.5,0.1560214370749682,0.5609378848217809,88.88888888888889,0.4257987320388504,1.2565573569957154,27.11111111111111
