year,ret_pct,mdd_pct,end_equity,sharpe
2016,0.21,1.74,25053,0.24
2017,2.86,2.81,25786,0.87
2018,0.69,2.5,25966,0.24
2019,3.9,2.71,26965,1.3
2020,2.46,4.46,27636,0.65
2021,2.98,2.5,28446,1.03
2022,2.96,2.97,29310,0.7
2023,6.02,1.9,31083,1.95
2024,-0.53,3.31,30929,-0.18
2025,9.36,2.21,33902,3.21
2026,4.05,0.91,35295,2.85
