pair,ATR_pips,spread_pips,ATR除以點差,年化報酬,夏普,MDD
USDJPY,46.25999450683594,0.9,51.39999389648437,0.5798009918819957,0.720699373382474,1.4074968032532813
EURJPY,44.79530334472656,1.4,31.99664524623326,0.08498695081302632,0.1299894690717798,1.6541582105826262
EURUSD,22.792398929596278,0.8,28.490498661995346,0.2961780038782891,0.699555343558002,0.5925099800426769
GBPJPY,56.68491363525341,2.0,28.342456817626704,0.13072772453612824,0.18302052736250832,1.837005489844039
GBPUSD,29.04751896858232,1.2,24.206265807151937,0.2502462972644004,0.5294356003520807,0.5537699458771836
CHFJPY,47.15503692626932,2.2,21.43410769375878,0.17593637064670098,0.32219676443344913,0.8746666022648748
GBPAUD,48.942565917968416,2.5,19.57702636718737,0.35871296823499765,0.793968486175111,0.5661636364816771
EURAUD,42.94773936271673,2.2,19.521699710325784,0.20399947738698465,0.4366808180772292,0.4753225577593038
USDCAD,26.690006256103622,1.5,17.793337504069083,0.13703141473593305,0.3905441225197529,0.4727927181087104
AUDUSD,19.77705955505371,1.2,16.480882962544758,0.5686275180202482,0.7774287175237915,0.8770311213214289
CADJPY,33.14754486083971,2.2,15.067065845836229,0.4355005733280848,0.5788334042267532,2.039806454326342
USDCHF,21.99503779411316,1.5,14.663358529408773,0.4567956200063339,0.6599401014614368,0.8938573219569232
AUDCAD,28.479993343353215,2.0,14.239996671676607,0.641232752615184,1.8136610432130786,0.42351303034237153
EURCHF,19.745022058487272,1.8,10.969456699159595,-0.07542843856617187,-0.1740553617097261,1.419395225483473
AUDNZD,23.79012107849132,2.2,10.813691399314235,0.18341864487738668,0.6093166367136106,0.41906399909673586
NZDCAD,22.630065679550167,2.2,10.28639349070462,0.4808747267111668,1.0068828324689887,0.5048096180973943
NZDUSD,17.23620295524597,1.8,9.575668308469984,0.09148148309057191,0.13638721690255007,0.9694230756988932
EURGBP,13.42993974685669,1.5,8.953293164571125,0.06067693807805252,0.22968662785286575,0.38817386987399877
